speaker,title,topic,year,month,link
Henry B. Eyring,His Spirit to Be with You, love,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/his-spirit-to-be-with-you?lang=eng
Massimo De Feo,Pure Love: The True Sign of Every True Disciple of Jesus Christ, love,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/pure-love-the-true-sign-of-every-true-disciple-of-jesus-christ?lang=eng
Reyna I. Aburto,With One Accord, love,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/with-one-accord?lang=eng
Henry B. Eyring,Fear Not to Do Good, love,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/fear-not-to-do-good?lang=eng
José L. Alonso,Love One Another as He Has Loved Us, love,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/love-one-another-as-he-has-loved-us?lang=eng
Neill F. Marriott,Abiding in God and Repairing the Breach, love,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/abiding-in-god-and-repairing-the-breach?lang=eng
Thomas S. Monson,"Kindness, Charity, and Love", love,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/kindness-charity-and-love?lang=eng
D. Todd Christofferson,The Voice of Warning, love,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/the-voice-of-warning?lang=eng
Jeffrey R. Holland,Songs Sung and Unsung, love,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/songs-sung-and-unsung?lang=eng
Dieter F. Uchtdorf,Perfect Love Casteth Out Fear, love,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/perfect-love-casteth-out-fear?lang=eng
Dale G. Renlund,Our Good Shepherd, love,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/our-good-shepherd?lang=eng
S. Mark Palmer,Then Jesus Beholding Him Loved Him, love,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/then-jesus-beholding-him-loved-him?lang=eng
Robert D. Hales,"“Come, Follow Me” by Practicing Christian Love and Service", love,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/come-follow-me-by-practicing-christian-love-and-service?lang=eng
D. Todd Christofferson,“Abide in My Love”, love,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/abide-in-my-love?lang=eng
