speaker,title,topic,year,month,link
Joseph B. Wirthlin,Concern for the One,individual worth,04,2008,https://www.churchofjesuschrist.org/general-conference/2008/04/concern-for-the-one?lang=eng
John M. Madsen,A 12-Year-Old Deacon,individual worth,04,2008,https://www.churchofjesuschrist.org/general-conference/2008/04/a-12-year-old-deacon?lang=eng
Dennis B. Neuenschwander,One among the Crowd,individual worth,04,2008,https://www.churchofjesuschrist.org/general-conference/2008/04/one-among-the-crowd?lang=eng
Boyd K. Packer,The Weak and the Simple of the Church,individual worth,10,2007,https://www.churchofjesuschrist.org/general-conference/2007/10/the-weak-and-the-simple-of-the-church?lang=eng
Susan W. Tanner,Daughters of Heavenly Father,individual worth,04,2007,https://www.churchofjesuschrist.org/general-conference/2007/04/daughters-of-heavenly-father?lang=eng
Anthony D. Perkins,“The Great and Wonderful Love”,individual worth,10,2006,https://www.churchofjesuschrist.org/general-conference/2006/10/the-great-and-wonderful-love?lang=eng
Joseph B. Wirthlin,The Abundant Life,individual worth,04,2006,https://www.churchofjesuschrist.org/general-conference/2006/04/the-abundant-life?lang=eng
Harold G. Hillam,The Worth of Souls,individual worth,04,2005,https://www.churchofjesuschrist.org/general-conference/2005/04/the-worth-of-souls?lang=eng
Susan W. Tanner,Glad Tidings from Cumorah,individual worth,04,2005,https://www.churchofjesuschrist.org/general-conference/2005/04/glad-tidings-from-cumorah?lang=eng
M. Russell Ballard,The Atonement and the Value of One Soul,individual worth,04,2004,https://www.churchofjesuschrist.org/general-conference/2004/04/the-atonement-and-the-value-of-one-soul?lang=eng
Sydney S. Reynolds,He Knows Us; He Loves Us,individual worth,10,2003,https://www.churchofjesuschrist.org/general-conference/2003/10/he-knows-us-he-loves-us?lang=eng
Boyd K. Packer,The Stake Patriarch,individual worth,10,2002,https://www.churchofjesuschrist.org/general-conference/2002/10/the-stake-patriarch?lang=eng
James E. Faust,It Can’t Happen to Me,individual worth,04,2002,https://www.churchofjesuschrist.org/general-conference/2002/04/it-can-t-happen-to-me?lang=eng
Ronald A. Rasband,One by One,individual worth,10,2000,https://www.churchofjesuschrist.org/general-conference/2000/10/one-by-one?lang=eng
Richard G. Scott,The Sanctity of Womanhood,individual worth,04,2000,https://www.churchofjesuschrist.org/general-conference/2000/04/the-sanctity-of-womanhood?lang=eng
James E. Faust,What It Means to Be a Daughter of God,individual worth,10,1999,https://www.churchofjesuschrist.org/general-conference/1999/10/what-it-means-to-be-a-daughter-of-god?lang=eng
Ben B. Banks,“Feed My Sheep”,individual worth,10,1999,https://www.churchofjesuschrist.org/general-conference/1999/10/feed-my-sheep?lang=eng
W. Rolfe Kerr,“Behold Your Little Ones”,individual worth,10,1996,https://www.churchofjesuschrist.org/general-conference/1996/10/behold-your-little-ones?lang=eng
M. Russell Ballard,Feasting at the Lord’s Table,individual worth,04,1996,https://www.churchofjesuschrist.org/general-conference/1996/04/feasting-at-the-lords-table?lang=eng
Chieko N. Okazaki,A Living Network,individual worth,10,1995,https://www.churchofjesuschrist.org/general-conference/1995/10/a-living-network?lang=eng
Elaine L. Jack,Relief Society: A Balm in Gilead,individual worth,10,1995,https://www.churchofjesuschrist.org/general-conference/1995/10/relief-society-a-balm-in-gilead?lang=eng
Gordon B. Hinckley,This Work Is Concerned with People,individual worth,04,1995,https://www.churchofjesuschrist.org/general-conference/1995/04/this-work-is-concerned-with-people?lang=eng
James E. Faust,Heirs to the Kingdom of God,individual worth,04,1995,https://www.churchofjesuschrist.org/general-conference/1995/04/heirs-to-the-kingdom-of-god?lang=eng
Gordon B. Hinckley,The Light within You,individual worth,04,1995,https://www.churchofjesuschrist.org/general-conference/1995/04/the-light-within-you?lang=eng
Thomas S. Monson,My Brother’s Keeper,individual worth,10,1994,https://www.churchofjesuschrist.org/general-conference/1994/10/my-brothers-keeper?lang=eng
Elaine L. Jack,“These Things Are Manifested unto Us Plainly”,individual worth,10,1990,https://www.churchofjesuschrist.org/general-conference/1990/10/these-things-are-manifested-unto-us-plainly?lang=eng
Ardeth G. Kapp,“Crickets” Can Be Destroyed through Spirituality,individual worth,10,1990,https://www.churchofjesuschrist.org/general-conference/1990/10/crickets-can-be-destroyed-through-spirituality?lang=eng
Dwan J. Young,An Invitation to Grow,individual worth,04,1982,https://www.churchofjesuschrist.org/general-conference/1982/04/an-invitation-to-grow?lang=eng
Charles A. Didier,The Value of People,individual worth,04,1976,https://www.churchofjesuschrist.org/general-conference/1976/04/the-value-of-people?lang=eng
John H. Vandenberg,You Are Your Greatest Treasure,individual worth,04,1976,https://www.churchofjesuschrist.org/general-conference/1976/04/you-are-your-greatest-treasure?lang=eng
Marvin J. Ashton,In His Strength,individual worth,04,1973,https://www.churchofjesuschrist.org/general-conference/1973/04/in-his-strength?lang=eng
Paul H. Dunn,The Worth of Souls Is Great!,individual worth,04,1973,https://www.churchofjesuschrist.org/general-conference/1973/04/the-worth-of-souls-is-great?lang=eng
Thomas S. Monson,Yellow Canaries with Gray on Their Wings,individual worth,04,1973,https://www.churchofjesuschrist.org/general-conference/1973/04/yellow-canaries-with-gray-on-their-wings?lang=eng
Mathias Held,Seeking Knowledge by the Spirit,inspiration,04,2019,https://www.churchofjesuschrist.org/general-conference/2019/04/24held?lang=eng
Henry B. Eyring,His Spirit to Be with You,inspiration,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/his-spirit-to-be-with-you?lang=eng
M. Russell Ballard,The Greatest Generation of Young Adults,institute,04,2015,https://www.churchofjesuschrist.org/general-conference/2015/04/the-greatest-generation-of-young-adults?lang=eng
Gordon B. Hinckley,The Perpetual Education Fund,institute,04,2001,https://www.churchofjesuschrist.org/general-conference/2001/04/the-perpetual-education-fund?lang=eng
L. Tom Perry,Receive Truth,institute,10,1997,https://www.churchofjesuschrist.org/general-conference/1997/10/receive-truth?lang=eng
Boyd K. Packer,“To Be Learned Is Good If …”,institute,10,1992,https://www.churchofjesuschrist.org/general-conference/1992/10/to-be-learned-is-good-if?lang=eng
Richard J. Maynes,Earning the Trust of the Lord and Your Family,integrity,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/earning-the-trust-of-the-lord-and-your-family?lang=eng
D. Todd Christofferson,Reflections on a Consecrated Life,integrity,10,2010,https://www.churchofjesuschrist.org/general-conference/2010/10/reflections-on-a-consecrated-life?lang=eng
Quentin L. Cook,Let There Be Light!,integrity,10,2010,https://www.churchofjesuschrist.org/general-conference/2010/10/let-there-be-light?lang=eng
Steven J. Lund,Finding Joy in Christ,Jesus Christ,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/23lund?lang=eng
William K. Jackson,The Culture of Christ,Jesus Christ,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/27jackson?lang=eng
Neil L. Andersen,We Talk of Christ,Jesus Christ,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/45andersen?lang=eng
Matthew S. Holland,The Exquisite Gift of the Son,Jesus Christ,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/26holland?lang=eng
Henry B. Eyring,"Tested, Proved, and Polished",Jesus Christ,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/51eyring?lang=eng
Cristina B. Franco,The Healing Power of Jesus Christ,Jesus Christ,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/34franco?lang=eng
Scott D. Whiting,Becoming like Him,Jesus Christ,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/13whiting?lang=eng
Ricardo P. Giménez,Finding Refuge from the Storms of Life,Jesus Christ,04,2020,https://www.churchofjesuschrist.org/general-conference/2020/04/53gimenez?lang=eng
Russell M. Nelson,Hear Him,Jesus Christ,04,2020,https://www.churchofjesuschrist.org/general-conference/2020/04/45nelson?lang=eng
John A. McCune,Come unto Christ—Living as Latter-day Saints,Jesus Christ,04,2020,https://www.churchofjesuschrist.org/general-conference/2020/04/24mccune?lang=eng
Dieter F. Uchtdorf,Come and Belong,Jesus Christ,04,2020,https://www.churchofjesuschrist.org/general-conference/2020/04/54uchtdorf?lang=eng
Russell M. Nelson,Opening the Heavens for Help,Jesus Christ,04,2020,https://www.churchofjesuschrist.org/general-conference/2020/04/37nelson?lang=eng
Bonnie H. Cordon,That They May See,Jesus Christ,04,2020,https://www.churchofjesuschrist.org/general-conference/2020/04/42cordon?lang=eng
Gerrit W. Gong,Hosanna and Hallelujah—The Living Jesus Christ: The Heart of Restoration and Easter,Jesus Christ,04,2020,https://www.churchofjesuschrist.org/general-conference/2020/04/31gong?lang=eng
L. Whitney Clayton,The Finest Homes,Jesus Christ,04,2020,https://www.churchofjesuschrist.org/general-conference/2020/04/55clayton?lang=eng
Russell M. Nelson,Go Forward in Faith,Jesus Christ,04,2020,https://www.churchofjesuschrist.org/general-conference/2020/04/57nelson?lang=eng
Gérald Caussé,A Living Witness of the Living Christ,Jesus Christ,04,2020,https://www.churchofjesuschrist.org/general-conference/2020/04/25causse?lang=eng
D. Todd Christofferson,The Joy of the Saints,Jesus Christ,10,2019,https://www.churchofjesuschrist.org/general-conference/2019/10/14christofferson?lang=eng
Dale G. Renlund,Unwavering Commitment to Jesus Christ,Jesus Christ,10,2019,https://www.churchofjesuschrist.org/general-conference/2019/10/16renlund?lang=eng
Walter F. González,The Savior’s Touch,Jesus Christ,10,2019,https://www.churchofjesuschrist.org/general-conference/2019/10/44gonzalez?lang=eng
Neil L. Andersen,Fruit,Jesus Christ,10,2019,https://www.churchofjesuschrist.org/general-conference/2019/10/56andersen?lang=eng
Lisa L. Harkness,Honoring His Name,Jesus Christ,10,2019,https://www.churchofjesuschrist.org/general-conference/2019/10/32harkness?lang=eng
Henry B. Eyring,Holiness and the Plan of Happiness,Jesus Christ,10,2019,https://www.churchofjesuschrist.org/general-conference/2019/10/51eyring?lang=eng
Jeffrey R. Holland,"The Message, the Meaning, and the Multitude",Jesus Christ,10,2019,https://www.churchofjesuschrist.org/general-conference/2019/10/11holland?lang=eng
D. Todd Christofferson,Preparing for the Lord’s Return,Jesus Christ,04,2019,https://www.churchofjesuschrist.org/general-conference/2019/04/44christofferson?lang=eng
Kim B. Clark,Look unto Jesus Christ,Jesus Christ,04,2019,https://www.churchofjesuschrist.org/general-conference/2019/04/33clark?lang=eng
Takashi Wada,Feasting upon the Words of Christ,Jesus Christ,04,2019,https://www.churchofjesuschrist.org/general-conference/2019/04/26wada?lang=eng
Tad R. Callister,The Atonement of Jesus Christ,Jesus Christ,04,2019,https://www.churchofjesuschrist.org/general-conference/2019/04/45callister?lang=eng
Jeffrey R. Holland,Behold the Lamb of God,Jesus Christ,04,2019,https://www.churchofjesuschrist.org/general-conference/2019/04/28holland?lang=eng
Gerrit W. Gong,"Good Shepherd, Lamb of God",Jesus Christ,04,2019,https://www.churchofjesuschrist.org/general-conference/2019/04/53gong?lang=eng
W. Christopher Waddell,Just as He Did,Jesus Christ,04,2019,https://www.churchofjesuschrist.org/general-conference/2019/04/15waddell?lang=eng
Sharon Eubank,Christ: The Light That Shines in Darkness,Jesus Christ,04,2019,https://www.churchofjesuschrist.org/general-conference/2019/04/42eubank?lang=eng
Russell M. Nelson,The Correct Name of the Church,Jesus Christ,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/the-correct-name-of-the-church?lang=eng
Gerrit W. Gong,Our Campfire of Faith,Jesus Christ,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/our-campfire-of-faith?lang=eng
Neil L. Andersen,Wounded,Jesus Christ,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/wounded?lang=eng
Dale G. Renlund,Choose You This Day,Jesus Christ,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/choose-you-this-day?lang=eng
Paul B. Pieper,All Must Take upon Them the Name Given of the Father,Jesus Christ,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/all-must-take-upon-them-the-name-given-of-the-father?lang=eng
David A. Bednar,Gather Together in One All Things in Christ,Jesus Christ,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/gather-together-in-one-all-things-in-christ?lang=eng
M. Russell Ballard,The Vision of the Redemption of the Dead,Jesus Christ,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/the-vision-of-the-redemption-of-the-dead?lang=eng
Robert C. Gay,Taking upon Ourselves the Name of Jesus Christ,Jesus Christ,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/taking-upon-ourselves-the-name-of-jesus-christ?lang=eng
D. Todd Christofferson,Firm and Steadfast in the Faith of Christ,Jesus Christ,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/firm-and-steadfast-in-the-faith-of-christ?lang=eng
Bonnie H. Cordon,Becoming a Shepherd,Jesus Christ,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/becoming-a-shepherd?lang=eng
Matthew L. Carpenter,Wilt Thou Be Made Whole?,Jesus Christ,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/wilt-thou-be-made-whole?lang=eng
Henry B. Eyring,"Try, Try, Try",Jesus Christ,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/try-try-try?lang=eng
Brian K. Ashton,The Father,Jesus Christ,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/the-father?lang=eng
Gary E. Stevenson,Shepherding Souls,Jesus Christ,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/shepherding-souls?lang=eng
Ronald A. Rasband,Be Not Troubled,Jesus Christ,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/be-not-troubled?lang=eng
Taniela B. Wakolo,Saving Ordinances Will Bring Us Marvelous Light,Jesus Christ,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/saving-ordinances-will-bring-us-marvelous-light?lang=eng
Larry Y. Wilson,Take the Holy Spirit as Your Guide,Jesus Christ,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/take-the-holy-spirit-as-your-guide?lang=eng
Gerrit W. Gong,Christ the Lord Is Risen Today,Jesus Christ,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/christ-the-lord-is-risen-today?lang=eng
Dieter F. Uchtdorf,Behold the Man!,Jesus Christ,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/behold-the-man?lang=eng
Neil L. Andersen,The Prophet of God,Jesus Christ,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/the-prophet-of-god?lang=eng
Lynn G. Robbins,Until Seventy Times Seven,Jesus Christ,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/until-seventy-times-seven?lang=eng
Taylor G. Godoy,One More Day,Jesus Christ,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/one-more-day?lang=eng
M. Russell Ballard,Precious Gifts from God,Jesus Christ,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/precious-gifts-from-god?lang=eng
Massimo De Feo,Pure Love: The True Sign of Every True Disciple of Jesus Christ,Jesus Christ,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/pure-love-the-true-sign-of-every-true-disciple-of-jesus-christ?lang=eng
Dallin H. Oaks,Small and Simple Things,Jesus Christ,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/small-and-simple-things?lang=eng
Reyna I. Aburto,With One Accord,Jesus Christ,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/with-one-accord?lang=eng
Larry J. Echo Hawk,"Even as Christ Forgives You, So Also Do Ye",Jesus Christ,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/even-as-christ-forgives-you-so-also-do-ye?lang=eng
David A. Bednar,Meek and Lowly of Heart,Jesus Christ,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/meek-and-lowly-of-heart?lang=eng
Jean B. Bingham,Ministering as the Savior Does,Jesus Christ,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/ministering-as-the-savior-does?lang=eng
Russell M. Nelson,"Revelation for the Church, Revelation for Our Lives",Jesus Christ,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/revelation-for-the-church-revelation-for-our-lives?lang=eng
Brian K. Taylor,Am I a Child of God?,Jesus Christ,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/am-i-a-child-of-god?lang=eng
Jeffrey R. Holland,Be Ye Therefore Perfect—Eventually,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/be-ye-therefore-perfect-eventually?lang=eng
W. Craig Zwick,"Lord, Wilt Thou Cause That My Eyes May Be Opened",Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/lord-wilt-thou-cause-that-my-eyes-may-be-opened?lang=eng
Stephen W. Owen,Repentance Is Always Positive,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/repentance-is-always-positive?lang=eng
Adilson de Paula Parrella,Essential Truths—Our Need to Act,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/essential-truths-our-need-to-act?lang=eng
Quentin L. Cook,The Eternal Everyday,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/the-eternal-everyday?lang=eng
Dieter F. Uchtdorf,A Yearning for Home,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/a-yearning-for-home?lang=eng
Dieter F. Uchtdorf,Three Sisters,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/three-sisters?lang=eng
Dieter F. Uchtdorf,Bearers of Heavenly Light,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/bearers-of-heavenly-light?lang=eng
O. Vincent Haleck,The Heart of the Widow,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/the-heart-of-the-widow?lang=eng
Henry B. Eyring,Fear Not to Do Good,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/fear-not-to-do-good?lang=eng
Henry B. Eyring,The Lord Leads His Church,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/the-lord-leads-his-church?lang=eng
W. Christopher Waddell,Turn to the Lord,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/turn-to-the-lord?lang=eng
D. Todd Christofferson,The Living Bread Which Came Down from Heaven,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/the-living-bread-which-came-down-from-heaven?lang=eng
Joy D. Jones,Value beyond Measure,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/value-beyond-measure?lang=eng
Stanley G. Ellis,Do We Trust Him? Hard Is Good,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/do-we-trust-him-hard-is-good?lang=eng
José L. Alonso,Love One Another as He Has Loved Us,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/love-one-another-as-he-has-loved-us?lang=eng
Jean B. Bingham,That Your Joy Might Be Full,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/that-your-joy-might-be-full?lang=eng
Neill F. Marriott,Abiding in God and Repairing the Breach,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/abiding-in-god-and-repairing-the-breach?lang=eng
Dale G. Renlund,The Priesthood and the Savior’s Atoning Power,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/the-priesthood-and-the-saviors-atoning-power?lang=eng
Russell M. Nelson,The Book of Mormon: What Would Your Life Be Like without It?,Jesus Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/the-book-of-mormon-what-would-your-life-be-like-without-it?lang=eng
Thomas S. Monson,"Kindness, Charity, and Love",Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/kindness-charity-and-love?lang=eng
Ulisses Soares,Confide in God Unwaveringly,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/confide-in-god-unwaveringly?lang=eng
Robert D. Hales,Becoming a Disciple of Our Lord Jesus Christ,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/becoming-a-disciple-of-our-lord-jesus-christ?lang=eng
Ronald A. Rasband,Let the Holy Spirit Guide,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/let-the-holy-spirit-guide?lang=eng
M. Joseph Brough,His Daily Guiding Hand,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/his-daily-guiding-hand?lang=eng
D. Todd Christofferson,The Voice of Warning,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/the-voice-of-warning?lang=eng
Benjamín De Hoyos,That Our Light May Be a Standard for the Nations,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/that-our-light-may-be-a-standard-for-the-nations?lang=eng
Dieter F. Uchtdorf,Perfect Love Casteth Out Fear,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/perfect-love-casteth-out-fear?lang=eng
Russell M. Nelson,Drawing the Power of Jesus Christ into Our Lives,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/drawing-the-power-of-jesus-christ-into-our-lives?lang=eng
Carol F. McConkie,The Beauty of Holiness,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/the-beauty-of-holiness?lang=eng
Quentin L. Cook,Foundations of Faith,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/foundations-of-faith?lang=eng
Weatherford T. Clayton,Our Father’s Glorious Plan,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/our-fathers-glorious-plan?lang=eng
Dallin H. Oaks,The Godhead and the Plan of Salvation,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/the-godhead-and-the-plan-of-salvation?lang=eng
Dale G. Renlund,Our Good Shepherd,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/our-good-shepherd?lang=eng
Linda K. Burton,Certain Women,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/certain-women?lang=eng
Neil L. Andersen,Overcoming the World,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/overcoming-the-world?lang=eng
Henry B. Eyring,Gathering the Family of God,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/gathering-the-family-of-god?lang=eng
Bonnie H. Cordon,Trust in the Lord and Lean Not,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/trust-in-the-lord-and-lean-not?lang=eng
C. Scott Grow,And This Is Life Eternal,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/and-this-is-life-eternal?lang=eng
Henry B. Eyring,“Walk with Me”,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/walk-with-me?lang=eng
Mark A. Bragg,Brighter and Brighter until the Perfect Day,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/brighter-and-brighter-until-the-perfect-day?lang=eng
L. Whitney Clayton,"Whatsoever He Saith unto You, Do It",Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/whatsoever-he-saith-unto-you-do-it?lang=eng
M. Russell Ballard,Return and Receive,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/return-and-receive?lang=eng
S. Mark Palmer,Then Jesus Beholding Him Loved Him,Jesus Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/then-jesus-beholding-him-loved-him?lang=eng
Dale G. Renlund,Repentance: A Joyful Choice,Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/repentance-a-joyful-choice?lang=eng
Bonnie L. Oscarson,"Rise Up in Strength, Sisters in Zion",Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/rise-up-in-strength-sisters-in-zion?lang=eng
Russell M. Nelson,Joy and Spiritual Survival,Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/joy-and-spiritual-survival?lang=eng
Evan A. Schmutz,God Shall Wipe Away All Tears,Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/god-shall-wipe-away-all-tears?lang=eng
Carl B. Cook,Serve,Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/serve?lang=eng
Brian K. Ashton,The Doctrine of Christ,Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/the-doctrine-of-christ?lang=eng
M. Russell Ballard,To Whom Shall We Go?,Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/to-whom-shall-we-go?lang=eng
J. Devn Cornish,Am I Good Enough? Will I Make It?,Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/am-i-good-enough-will-i-make-it?lang=eng
Juan A. Uceda,The Lord Jesus Christ Teaches Us to Pray,Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/the-lord-jesus-christ-teaches-us-to-pray?lang=eng
Jean B. Bingham,I Will Bring the Light of the Gospel into My Home,Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/i-will-bring-the-light-of-the-gospel-into-my-home?lang=eng
Robert D. Hales,"“Come, Follow Me” by Practicing Christian Love and Service",Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/come-follow-me-by-practicing-christian-love-and-service?lang=eng
D. Todd Christofferson,“Abide in My Love”,Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/abide-in-my-love?lang=eng
Peter F. Meurs,The Sacrament Can Help Us Become Holy,Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/the-sacrament-can-help-us-become-holy?lang=eng
Carole M. Stephens,The Master Healer,Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/the-master-healer?lang=eng
David A. Bednar,“If Ye Had Known Me”,Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/if-ye-had-known-me?lang=eng
Lynn G. Robbins,The Righteous Judge,Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/the-righteous-judge?lang=eng
K. Brett Nattress,No Greater Joy Than to Know That They Know,Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/no-greater-joy-than-to-know-that-they-know?lang=eng
Linda S. Reeves,The Great Plan of Redemption,Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/the-great-plan-of-redemption?lang=eng
Quentin L. Cook,Valiant in the Testimony of Jesus,Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/valiant-in-the-testimony-of-jesus?lang=eng
Thomas S. Monson,The Perfect Path to Happiness,Jesus Christ,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/the-perfect-path-to-happiness?lang=eng
Kevin R. Duncan,The Healing Ointment of Forgiveness,Jesus Christ,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/the-healing-ointment-of-forgiveness?lang=eng
Paul V. Johnson,And There Shall Be No More Death,Jesus Christ,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/and-there-shall-be-no-more-death?lang=eng
Neill F. Marriott,What Shall We Do?,Jesus Christ,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/what-shall-we-do?lang=eng
David A. Bednar,Always Retain a Remission of Your Sins,Jesus Christ,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/always-retain-a-remission-of-your-sins?lang=eng
Ronald A. Rasband,Standing with the Leaders of the Church,Jesus Christ,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/standing-with-the-leaders-of-the-church?lang=eng
Stephen W. Owen,The Greatest Leaders Are the Greatest Followers,Jesus Christ,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/the-greatest-leaders-are-the-greatest-followers?lang=eng
